2	ALL1_3
66	CAM_61
91	JEA
94	LAC_3
149	LDV_58
173	MIB_22
178	MIB_28
258	PAR_3
259	PAR_4
267	ROM_1
281	TOU_A1_115
328	TOU_A1_62
334	TOU_A1_68
357	TOU_A1_96
374	TOU_H_13
378	TOU_I_17
392	VOU_2
641	LI_OF_095
1716	KBS_Mac_8
1859	MNF_Pot_48
1867	MNF_Pot_68
1967	MNF_Jac_32
2057	Map_42
2150	Paw_3
2274	SLSP_30
4802	UKSW06_202
5056	UKSE06_192
5116	UKSE06_272
5122	UKSE06_278
5158	UKSE06_349
5160	UKSE06_351
5565	UKNW06_386
5606	UKNW06_436
5628	UKNW06_460
5729	UKID22
5753	UKID48
5832	App1_16
CS22590	Bor_1
5887	DraIV1_5
5896	DraIV1_14
5987	DraIV6_16
6008	Duk
CS22572	Eden_1
6016	Eds_1
6040	Kni_1
6042	Lom1_1
CS22574	Lov_1
6064	Nyl_2
6074	Ér_1
6188	TDr_1
6243	Tottarp_2
6318	UduI1_34
6448	ZdrI2_24
6449	ZdrI2_25
CS22342	Bg_2
CS22221	CIBC_2
CS22223	CIBC_4
CS22224	CIBC_5
CS22423	CSHL_5
CS22411	KNO_11
CS22201	NFC_20
CS22630	Ag_0
CS22626	An_1
CS22578	Bil_5
CS22579	Bil_7
CS22603	CIBC_17
CS22639	Ct_1
CS22573	Eden_2
CS22657	Edi_0
CS22616	Ei_2
CS22576	Fab_2
CS22577	Fab_4
CS22634	Ga_0
CS22609	Got_22
CS22617	Gu_0
CS22597	HR_10
CS22596	HR_5
CS22654	Kin_0
CS22566	Kno_10
CS22567	Kno_18
CS22651	Kondara
CS22606	Kz_1
CS22607	Kz_9
CS22650	LL_0
CS22615	Lz_0
CS22635	Mrk_0
CS22655	Ms_0
CS22642	Mt_0
CS22636	Mz_0
CS22619	Nd_1
CS22599	NFA_10
CS22643	Nok_3
CS22658	Oy_0
CS22593	Pu2_23
CS22454	Pu2_24
CS22592	Pu2_7
CS22449	Pu2_8
CS22632	Ra_0
CS22610	Ren_1
CS22611	Ren_11
CS22646	Se_0
CS22653	Sorbo
CS22582	Spr1_2
CS22583	Spr1_6
CS22600	Sq_1
CS22601	Sq_8
CS22605	Tamm_27
CS22648	Ts_5
CS22587	Ull2_3
CS22586	Ull2_5
CS22612	Uod_1
CS22613	Uod_7
CS22644	Wa_1
