Ames_26771	33-16
Ames_26604	38-11
NSL_30904	4226
PI_587130	4722
Ames_22443	A188
PI_406112	A214N
Ames_23405	A239
Ames_27063	A272
Ames_27064	A441-5
PI_587138	A554
Ames_23450	A556
Ames_27062	A6
PI_587139	A619
PI_587140	A632
Ames_19308	A634
Ames_19309	A635
Ames_19311	A641
PI_587141	A654
NSL_81599	A659
PI_607521	A661
PI_587142	A679
Ames_23503	A680
PI_587143	A682
Ames_18999	Ab28A
NSL_65865	B10
PI_594046	B103
PI_594047	B104
PI_594048	B105
PI_597927	B109
PI_615190	B115
PI_550461	B14A
Ames_27066	B164
Ames_26769	B2
PI_550467	B37
PI_550469	B46
PI_550454	B52
PI_550472	B57
PI_550440	B64
PI_550465	B68
PI_550473	B73
Ames_27065	B73Htrhm
PI_608774	B75
PI_550483	B76
PI_608765	B77
PI_608766	B79
PI_608767	B84
PI_564682	B97
Ames_19284	C103
Ames_19313	C123
Ames_27067	C49A
Ames_27069	CH701-30
Ames_27068	CH9
Ames_28367	CI.7
Ames_26138	CI187-2
CIze_21	CI21E
CIze_28	CI28A
Ames_21512	CI31A
Ames_26116	CI3A
Ames_19314	CI64
PI_587148	CI66
Ames_22440	CI90C
Ames_28365	CI91B
PI_587124	CM105
Ames_19316	CM174
Ames_20190	CM37
Ames_27070	CM7
Ames_27072	CML10
Ames_27081	CML103
Ames_27082	CML108
Ames_27258	CML11
Ames_27074	CML14
Ames_27083	CML154Q
Ames_27084	CML157Q
Ames_27085	CML158Q
Ames_27086	CML218
Ames_27087	CML220
Ames_27088	CML228
Ames_27089	CML238
PI_595541	CML247
PI_595542	CML254
Ames_27090	CML258
Ames_27091	CML261
PI_595544	CML264
PI_595550	CML277
Ames_27092	CML281
PI_595565	CML287
Ames_27093	CML311
Ames_27094	CML314
Ames_27095	CML321
Ames_27096	CML322
Ames_27097	CML323
Ames_27098	CML328
Ames_27099	CML331
Ames_27100	CML332
Ames_27101	CML333
Ames_27102	CML341
PI_595534	CML38
Ames_27076	CML45
Ames_27071	CML5
PI_595561	CML52
Ames_27078	CML61
Ames_28184	CML69
Ames_28185	CML77
Ames_27079	CML91
Ames_27080	CML92
Ames_27038	CMV3
Ames_27105	CO106
Ames_27106	CO125
Ames_27050	CO255
Ames_27108	D940Y
PI_606330	DE_2
Ames_27109	DE_3
PI_606329	DE1
PI_550558	DE811
Ames_27110	E2558W
Ames_27111	EP1
Ames_27112	F2834T
NSL_22893	F44
NSL_22894	F6
PI_257507	F7
Ames_10248	GA209
Ames_27113	GT112
PI_587127	H105W
Ames_15929	H49
PI_587128	H84
Ames_27114	H91
Ames_19319	H95
PI_587129	H99
Ames_28291	Hi27
PI_587131	HP301
Ames_26808	Hy
Ames_27116	I137TN
NSL_65871	I205
Ames_27115	I29
Ames_28364	IA2132
Ames_27117	Ia5125
Ames_24575	IDS28
Ames_24576	IDS69
Ames_24577	IDS91
Ames_27119	Il101
Ames_27118	Il14H
Ames_27120	Il677a
Ames_27122	K148
NSL_30038	K4
Ames_22754	K55
Ames_27121	K64
Ames_27124	Ki11
Ames_27259	Ki14
Ames_27129	Ki2021
Ames_27125	Ki21
Ames_27123	Ki3
Ames_27126	Ki43
Ames_27260	Ki44
Ames_27130	Ky21
Ames_27131	KY226
PI_587136	KY228
NSL_65873	L317
Ames_27132	L578
NSL_30867	M14
Ames_27134	M162W
Ames_27133	M37W
Ames_27135	MEF156-55-2
PI_558532	Mo17
PI_550441	Mo18W
PI_558520	MO1W
PI_587144	Mo24W
Ames_28939	Mo44
PI_583350	Mo45
PI_583351	Mo46
PI_583352	Mo47
Ames_27136	MoG
PI_543916	Mp339
Ames_24752	MS1334
Ames_24734	MS153
PI_587137	MS71
Ames_20140	Mt42
PI_550566	N192
Ames_27138	N28Ht
Ames_27137	N6
Ames_28366	N7A
Ames_12729	NC222
Ames_12731	NC230
Ames_12732	NC232
Ames_12734	NC236
Ames_12735	NC238
PI_550555	NC250
PI_531084	NC258
Ames_27140	NC260
PI_531085	NC262
PI_520774	NC264
Ames_27141	NC290A
Ames_27143	NC294
Ames_27144	NC296
Ames_27145	NC296A
Ames_27261	NC298
Ames_27146	NC300
Ames_27147	NC302
Ames_27148	NC304
Ames_27149	NC306
Ames_27151	NC310
Ames_27153	NC314
Ames_27155	NC318
Ames_27156	NC320
Ames_27158	NC324
Ames_27159	NC326
Ames_27160	NC328
Ames_27139	NC33
Ames_27164	NC336
Ames_27165	NC338
Ames_27166	NC340
Ames_27167	NC342
Ames_27168	NC344
Ames_27169	NC346
Ames_27170	NC348
Ames_27171	NC350
Ames_27172	NC352
Ames_27173	NC354
Ames_27174	NC356
Ames_27175	NC358
Ames_27176	NC360
Ames_27177	NC362
Ames_27178	NC364
Ames_27179	NC366
Ames_27180	NC368
PI_550490	ND246
NSL_28966	Oh40B
Ames_19288	Oh43
Ames_27183	Oh43E
PI_573098	Oh603
Ames_19323	OH7B
NSL_65874	Os420
Ames_28186	P39
Ames_27184	Pa762
Ames_27185	Pa875
PI_517974	Pa880
PI_587147	Pa91
NSL_242484	R109B
Ames_19326	R168
NSL_30894	R177
PI_592734	R229
Ames_27187	R4
Ames_27188	SA24
NSL_53083	SC213R
NSL_53094	SC357
Ames_27189	SC55
PI_606768	SD40
PI_524969	SD44
PI_587132	Sg1533
NSL_75979	Sg18
PI_550522	T232
Ames_27190	T234
PI_550518	T8
Ames_19327	Tx303
Ames_22763	Tx601
PI_506248	Tzi10
PI_540745	Tzi11
PI_540747	Tzi16
PI_506253	Tzi18
PI_506255	Tzi25
PI_506246	Tzi8
PI_506247	Tzi9
Ames_27191	U267Y
PI_587151	VA102
Ames_27192	Va14
Ames_19002	Va17
Ames_19328	Va22
PI_587149	Va26
