IRGC38698	NPE-844
IRGC38692	NPE-417
IRGC40748	Nep-Hoa-Vang
IRGC25901	Miriti
IRGC6663	Mudgo
IRGC418	Norin-20
IRGC17757	Jambu
IRGC6264	N22
IRGC9146	TD25
IRGC6208	Chitraj(DA23)
IRGC8341	Dhola-Aman
IRGC3782	Kinastano
RA4890	DA1A
GID-58752	IRAT177
PI602626	Ming-Hui
IRGC6046	DA11
IRGC6541	Bhadoia-233
IRGC8896	S624(AC-398)
IRGC7937	Pratao
IRGC7919	MTU9
IRGC26011	Dourado-Precoce
IRGC8231	Gie-57
IRGC105	Taichung-Native-1
IRGC191	NHTA-10
IRGC1715	Rexoro
IRGC1723	Carolina-Gold
IRGC3297	Dourado-Agulha
IRGC3697	CO25
IRGC5418	Sintane-Diofor
IRGC5809	DA7
IRGC5854	DA9
IRGC5855	DA5
IRGC6274	PTB9
IRGC12883	Mehr
IRGC6144	FR13-A
IRGC6087	Makalioka-34
IRGC6294	T1
IRGC6298	N12
IRGC6331	CO18
IRGC6590	Baguamon-14
IRGC8234	RTS12
IRGC8241	EH-1A-Chiu
IRGC8242	Shuang-Chiang
IRGC8245	Macan-Binundok
IRGC8257	Oiran
IRGC8260	Seratoes-Hari
IRGC8264	Hu-Lo-Tao
IRGC8266	Peh-Ni-Nuo
IRGC8268	Pappaku
IRGC8269	Nabeshi
IRGC9060	JC101
IRGC9062	JC111
IRGC9069	JC148
IRGC9070	JC149
IRGC9179	JC157
IRGC9115	JC73-4
IRGC8233	RTSE5
IRGC9147	Padi-Boenor
IRGC9148	TD2
IRGC9175	JC93
IRGC9176	JC92
IRGC38696	NPE-835
IRGC9177	JC91
IRGC9178	JC120
IRGC9542	Jumali
IRGC10214	Chiem-Chanh
IRGC27630	Darmali
IRGC27716	Kaw-Luyoeng
IRGC27762	Leung-Pratew
IRGC27798	Basmati-1
IRGC27869	Chahora-144
IRGC32300	Gerdeh
IRGC30238	Champa-Tong-54
IRGC32303	Gharib
IRGC32362	Tchampa
IRGC33984	Baber
IRGC38690	NPE-253
IRGC40673	Pin-Tawng
IRGC38694	NPE-826
IRGC43322	Arang
